ID,MIDI,YEAR
"5,""Mezjuev/1986.mid"",1986"
"435,""Mezjuev/Antiquity Rag.mid"",1991"
"462,""Mezjuev/Apple Blossoms.mid"",1985"
"532,""Mezjuev/As It Was In The 'Aught-Six Quake.mid"",2006"
"992,""Mezjuev/Big Man The.mid"",1990"
"1022,""Mezjuev/Birch Leaf Rag.mid"",1987"
"1247,""Mezjuev/Bluebell Rag.mid"",1986"
"1429,""Mezjuev/Brise Argentine.mid"",1913"
"1455,""Mezjuev/Bronco Billy's Ragtime Ride.mid"",n/a"
"1828,""Mezjuev/Capitola Rain.mid"",1995"
"1900,""Mezjuev/Carpet Sweeper  The.mid"",2005"
"2004,""Mezjuev/Chandelier Rag.mid"",1987"
"2244,""Mezjuev/City Slicker.mid"",2005"
"2488,""Mezjuev/Construction Rag.mid"",1986"
"2534,""Mezjuev/Coon's Birthday.mid"",1903"
"2700,""Mezjuev/Cowboy Without Indians Rag  The.mid"",1992"
"3570,""Mezjuev/Dragon-Fly  The.mid"",1992"
"3853,""Mezjuev/Entropy Rag.mid"",2009"
"3897,""Mezjuev/Euclid Avenue Rag.mid"",1994"
"4476,""Mezjuev/Friendship Rag.mid"",2001"
"4901,""Mezjuev/Golliwog's Cake-Walk.mid"",1908"
"5467,""Mezjuev/Hippocampus Two Step.mid"",1964"
"6610,""Mezjuev/Jack Daniel's Old No. 7  The.mid"",1983"
"6964,""Mezjuev/Justin-Tyme.mid"",1922"
"7171,""Mezjuev/Kitty.mid"",1919"
"7771,""Mezjuev/Lundberg Mucho Speziale.mid"",1996"
"7772,""Mezjuev/Lundberg Special.mid"",1959"
"7819,""Mezjuev/Madame X.mid"",1913"
"7827,""Mezjuev/Madrone  The.mid"",2008"
"8162,""Mezjuev/Memories Of A Missouri Confederate.mid"",1989"
"8296,""Mezjuev/Minor Rag (In F sharp minor).mid"",n/a"
"8428,""Mezjuev/Mobile Carnival Rag-Tango.mid"",1966"
"8542,""Mezjuev/More The Merrier Rag  The.mid"",1996"
"8750,""Mezjuev/My Little Black Sweetheart.mid"",1911"
"8911,""Mezjuev/Never-Fading Love  The.mid"",1990"
"9015,""Mezjuev/Niggerpiccolo.mid"",1919"
"9119,""Mezjuev/North Star.mid"",1995"
"9308,""Mezjuev/Okra Flowers.mid"",2005"
"9432,""Mezjuev/On The Highwire.mid"",1985"
"9527,""Mezjuev/Orange Blossoms.mid"",1983"
"9607,""Mezjuev/P.L.C. Rag.mid"",2008"
"10179,""Mezjuev/Pontificator  The.mid"",2007"
"10779,""Mezjuev/Rag's Rag.mid"",1996"
"10724,""Mezjuev/Raggin' On Home.mid"",1997"
"10813,""Mezjuev/Ragtime Angel.mid"",n/a"
"11073,""Mezjuev/Ragweed Rag  The.mid"",1995"
"11099,""Mezjuev/Rained-Out Slow Drag.mid"",2005"
"11130,""Mezjuev/Ramunder Rag.mid"",1988"
"11190,""Mezjuev/Razor Sharp!.mid"",2005"
"11365,""Mezjuev/Remembrance Rag.mid"",2006"
"11495,""Mezjuev/River Boat Slow Drag  The.mid"",1986"
"11574,""Mezjuev/Romanza Dramatica.mid"",1997"
"11750,""Mezjuev/Sage Leaf.mid"",2004"
"12071,""Mezjuev/Shaw's Gardens Rag  The.mid"",1994"
"12198,""Mezjuev/Silky Mississippi  The.mid"",1999"
"12672,""Mezjuev/Spaniard  The.mid"",1990"
"12801,""Mezjuev/St Louis Zoo Rag  The.mid"",1994"
"12821,""Mezjuev/Star  The.mid"",1919"
"12824,""Mezjuev/Starlight Rag.mid"",1986"
"12924,""Mezjuev/Stork Trot.mid"",1919"
"13173,""Mezjuev/Swedish Gnome Rag  The.mid"",1996"
"14101,""Mezjuev/Tionde April.mid"",1911"
"14113,""Mezjuev/Titti.mid"",1915"
"14239,""Mezjuev/Transatlantic.mid"",1910"
"14472,""Mezjuev/UFO Rag  The.mid"",1995"
"14749,""Mezjuev/Waiting For The Zenith.mid"",1986"
"14757,""Mezjuev/Walk In The Woods Picking Birch Leaves Rag, A.mid"",1996"
"15159,""Mezjuev/Whitewater.mid"",1995"
"15187,""Mezjuev/Whooping Crane.mid"",1969"
"15428,""Mezjuev/Yearning Rag.mid"",1987"
"1163,""Edwards/Blood On The Keys.mid"",1989"
"1338,""Edwards/Boone's Rag Medley No. 2.mid"",1909"
"5161,""Edwards/Hanon Rag.mid"",1985"
"9948,""Edwards/Piano Tuner's Nightmare  The.mid"",1911"
"12418,""Edwards/Smoky Topaz  The.mid"",1901"
"1010,""Reublin/Billy Boy.mid"",1917"
"1087,""Reublin/Black Eyed Blues.mid"",1922"
"1621,""Reublin/Buzzin' The Bee.mid"",1916"
"1918,""Reublin/Castle Innovation Tango.mid"",1914"
"2826,""Reublin/Cubanola Glide  The.mid"",1909"
"3367,""Reublin/Dizzy Fingers.mid"",1923"
"4234,""Reublin/Flapper Walk  The.mid"",1922"
"5564,""Reublin/Honey Lu.mid"",1922"
"7207,""Reublin/Koo-Kee-Koo.mid"",1922"
"9332,""Reublin/Old Grey Mare  The.mid"",1915"
"9537,""Reublin/Oriental Eyes.mid"",1922"
"10402,""Reublin/Put Me To Sleep With An Old Fashioned Melody.mid"",1915"
"11582,""Reublin/Roosevelt March.mid"",1910"
"11599,""Reublin/Rose Room .mid"",1917"
"12978,""Reublin/Stumbling.mid"",1922"
"13987,""Reublin/Those Flippity Floppety Flappers.mid"",1922"
"4249,""Decker, Kermit, Laura, Morgan, MSN, Midibiz & bTd/Flim Flam Man.mid"",2005"
"10885,""Decker, Kermit, Laura, Morgan, MSN, Midibiz & bTd/Ragtime For Bedtime.mid"",1999"
"11829,""Decker, Kermit, Laura, Morgan, MSN, Midibiz & bTd/Sandy's Rag.mid"",2002"
"397,""Misc Sequencers M-R/Angel Rag.mid"",2000"
"1023,""Misc Sequencers M-R/Bird-Bath Rag.mid"",2004"
"1162,""Misc Sequencers M-R/Blood.mid"",2000"
"1947,""Misc Sequencers M-R/Cat's Cradle.mid"",2001"
"2279,""Misc Sequencers M-R/Cleopatra's Asp.mid"",2001"
"2678,""Misc Sequencers M-R/Counterfeit Rag.mid"",2000"
"2759,""Misc Sequencers M-R/Creek Street.mid"",1997"
"3205,""Misc Sequencers M-R/Devil's Hayride.mid"",2000"
"3808,""Misc Sequencers M-R/Elizabethan Rag.mid"",1998"
"4143,""Misc Sequencers M-R/FIFI.mid"",1998"
"4568,""Misc Sequencers M-R/Funny Papers Rag.mid"",2004"
"4991,""Misc Sequencers M-R/Grace & Propriety.mid"",1996"
"7100,""Misc Sequencers M-R/Khartoum.mid"",1996"
"9095,""Misc Sequencers M-R/Nogalese Sunset.mid"",n/a"
"10380,""Misc Sequencers M-R/Puppy Dog Rag.mid"",2004"
"10542,""Misc Sequencers M-R/Rag For Rosinante, A.mid"",2002"
"10934,""Misc Sequencers M-R/Ragtime Man Rag.mid"",2003"
"11908,""Misc Sequencers M-R/Scarecrow Rag.mid"",1911"
"12357,""Misc Sequencers M-R/Slippery Fingers.mid"",1927"
"12552,""Misc Sequencers M-R/Somnambulation Rag.mid"",2001"
"12952,""Misc Sequencers M-R/Stride With Me.mid"",2001"
"13566,""Misc Sequencers M-R/TGIF Rag.mid"",1994"
"14084,""Misc Sequencers M-R/Tin Lizzy.mid"",1993"
"15432,""Misc Sequencers M-R/Yellow Dog Rag  The .mid"",1914"
"115,""MacDonald/African Pas'.mid"",1902"
"158,""MacDonald/Aint I Lucky?.mid"",1905"
"344,""MacDonald/Amazon Rag  The.mid"",1904"
"421,""MacDonald/Anoma.mid"",1910"
"516,""MacDonald/Armadillo.mid"",1911"
"536,""MacDonald/Ashy Africa.mid"",1902"
"602,""MacDonald/Atlanta Rag.mid"",1922"
"795,""MacDonald/Bantam Step.mid"",1916"
"803,""MacDonald/Barbed Wire Rag.mid"",1910"
"926,""MacDonald/Belle Of The Creoles.mid"",1899"
"986,""MacDonald/Big Foot Lou.mid"",1899"
"1058,""MacDonald/Black Bawl, A.mid"",1905"
"1114,""MacDonald/Black Smoke, A.mid"",1902"
"1190,""MacDonald/Blue Goose.mid"",n/a"
"1287,""MacDonald/Bohemia.mid"",1919"
"1301,""MacDonald/Bolo Rag  The.mid"",1907"
"1364,""MacDonald/Bowery Buck.mid"",1899"
"1401,""MacDonald/Breeze From Alabama, A.mid"",1902"
"1452,""MacDonald/Broncho Billy.mid"",1914"
"1520,""MacDonald/Buffalo Rag  The.mid"",1904"
"1537,""MacDonald/Bugs Rag.mid"",1913"
"1561,""MacDonald/Bunch O' Blackberries.mid"",1899"
"1747,""MacDonald/Calla Lilly.mid"",1907"
"1765,""MacDonald/Campin' On De Ole Suwanee .mid"",1899"
"1781,""MacDonald/Canadian Capers.mid"",1905"
"1803,""MacDonald/Candy  The.mid"",1909"
"1811,""MacDonald/Cannon Ball  The.mid"",1905"
