1;Fascinator, The - Witherwax.mid;1-electriclef_witherwax-fascinator_the__witherwax.mid
2;Peacherine Rag - Witherwax.mid;2-electriclef_witherwax-peacherine_rag__witherwax.mid
3;Reflection Rag (Joplin) - Witherwax.mid;3-electriclef_witherwax-reflection_rag_joplin__witherwax.mid
4;Cascades, The - Witherwax.mid;4-electriclef_witherwax-cascades_the__witherwax.mid
5;I'm Alabama Bound (Hoffman) - Witherwax.mid;5-electriclef_witherwax-im_alabama_bound_hoffman__witherwax.mid
6;Buffalo Rag, The - Witherwax.mid;6-electriclef_witherwax-buffalo_rag_the__witherwax.mid
7;Sun Flower Slow Drag - Witherwax.mid;7-electriclef_witherwax-sun_flower_slow_drag__witherwax.mid
8;Victory Rag (Scott) - Witherwax.mid;8-electriclef_witherwax-victory_rag_scott__witherwax.mid
9;Scott Joplin's New Rag - Witherwax.mid;9-electriclef_witherwax-scott_joplins_new_rag__witherwax.mid
10;Kinklets - Witherwax.mid;10-electriclef_witherwax-kinklets__witherwax.mid
11;Cataract - Witherwax.mid;11-electriclef_witherwax-cataract__witherwax.mid
12;Maple Leaf Rag - Witherwax.mid;12-electriclef_witherwax-maple_leaf_rag__witherwax.mid
13;Fig Leaf - Witherwax.mid;13-electriclef_witherwax-fig_leaf__witherwax.mid
14;Reindeer - Witherwax.mid;14-electriclef_witherwax-reindeer__witherwax.mid
15;Ashy Africa - Witherwax.mid;15-electriclef_witherwax-ashy_africa__witherwax.mid
16;Tennessee Tantalizer, A - Witherwax.mid;16-electriclef_witherwax-tennessee_tantalizer_a__witherwax.mid
17;Hilarity Rag - Witherwax.mid;17-electriclef_witherwax-hilarity_rag__witherwax.mid
18;Wall Street Rag - Witherwax.mid;18-electriclef_witherwax-wall_street_rag__witherwax.mid
19;Sensation (Lamb) - Witherwax.mid;19-electriclef_witherwax-sensation_lamb__witherwax.mid
20;Frog Legs Rag - Witherwax.mid;20-electriclef_witherwax-frog_legs_rag__witherwax.mid
21;Agitation Rag - Witherwax.mid;21-electriclef_witherwax-agitation_rag__witherwax.mid
22;Patricia Rag - Witherwax.mid;22-electriclef_witherwax-patricia_rag__witherwax.mid
23;Grace And Beauty - Witherwax.mid;23-electriclef_witherwax-grace_and_beauty__witherwax.mid
