,id,midi_unformatted,year,midi_query,midi,match_score
0,435,Mezjuev/Antiquity Rag.mid,1991.0,mezjuev-antiquity_rag,mezjuev-antiquity_rag__mezjuev.mid,76
1,462,Mezjuev/Apple Blossoms.mid,1985.0,mezjuev-apple_blossoms,mezjuev-apple_blossoms__mezjuev.mid,77
2,532,Mezjuev/As It Was In The 'Aught-Six Quake.mid,2006.0,mezjuev-as_it_was_in_the_aughtsix_quake,mezjuev-as_it_was_in_the_aughtsix_quake__la_spina_ex_mezjuev.mid,76
3,992,Mezjuev/Big Man The.mid,1990.0,mezjuev-big_man_the,mezjuev-big_man_the__mezjuev.mid,75
4,1022,Mezjuev/Birch Leaf Rag.mid,1987.0,mezjuev-birch_leaf_rag,mezjuev-birch_leaf_rag__mezjuev.mid,77
5,1247,Mezjuev/Bluebell Rag.mid,1986.0,mezjuev-bluebell_rag,mezjuev-bluebell_rag__mezjuev.mid,75
6,1429,Mezjuev/Brise Argentine.mid,1913.0,mezjuev-brise_argentine,mezjuev-brise_argentine__mezjuev.mid,78
7,1455,Mezjuev/Bronco Billy's Ragtime Ride.mid,,mezjuev-bronco_billys_ragtime_ride,mezjuev-bronco_billys_ragtime_ride__la_spina_ex_mezjuev.mid,73
8,1828,Mezjuev/Capitola Rain.mid,1995.0,mezjuev-capitola_rain,mezjuev-capitola_rain__obriant_ex_mezjuev.mid,64
9,1900,Mezjuev/Carpet Sweeper  The.mid,2005.0,mezjuev-carpet_sweeper__the,mezjuev-carpet_sweeper_the__la_spina_ex_mezjuev.mid,67
10,2004,Mezjuev/Chandelier Rag.mid,1987.0,mezjuev-chandelier_rag,mezjuev-chandelier_rag__mezjuev.mid,77
11,2244,Mezjuev/City Slicker.mid,2005.0,mezjuev-city_slicker,mezjuev-city_slicker__la_spina_ex_mezjuev.mid,62
12,2488,Mezjuev/Construction Rag.mid,1986.0,mezjuev-construction_rag,mezjuev-construction_rag__mezjuev.mid,79
13,2534,Mezjuev/Coon's Birthday.mid,1903.0,mezjuev-coons_birthday,mezjuev-coons_birthday__reichel_ex_mezjuev.mid,65
14,2700,Mezjuev/Cowboy Without Indians Rag  The.mid,1992.0,mezjuev-cowboy_without_indians_rag__the,mezjuev-cowboy_without_indians_rag_the__shockley_ex_mezjuev.mid,75
15,3570,Mezjuev/Dragon-Fly  The.mid,1992.0,mezjuev-dragonfly__the,mezjuev-dragonfly_the__mezjuev.mid,75
16,3853,Mezjuev/Entropy Rag.mid,2009.0,mezjuev-entropy_rag,mezjuev-entropy_rag__mezjuev.mid,75
17,3897,Mezjuev/Euclid Avenue Rag.mid,1994.0,mezjuev-euclid_avenue_rag,mezjuev-euclid_avenue_rag__andris_ex_mezjuev.mid,68
18,4476,Mezjuev/Friendship Rag.mid,2001.0,mezjuev-friendship_rag,mezjuev-friendship_rag__la_spina_ex_mezjuev.mid,64
19,4901,Mezjuev/Golliwog's Cake-Walk.mid,1908.0,mezjuev-golliwogs_cakewalk,mezjuev-golliwogs_cakewalk__mezjuev.mid,80
20,5467,Mezjuev/Hippocampus Two Step.mid,1964.0,mezjuev-hippocampus_two_step,mezjuev-hippocampus_two_step__mezjuev.mid,81
21,6610,Mezjuev/Jack Daniel's Old No. 7  The.mid,1983.0,mezjuev-jack_daniels_old_no._7__the,mezjuev-jack_daniels_old_no._the__mezjuev.mid,80
22,6964,Mezjuev/Justin-Tyme.mid,1922.0,mezjuev-justintyme,mezjuev-justintyme__rowland_ex_mezjuev.mid,60
23,7171,Mezjuev/Kitty.mid,1919.0,mezjuev-kitty,mezjuev-titti__mezjuev.mid,56
24,7771,Mezjuev/Lundberg Mucho Speziale.mid,1996.0,mezjuev-lundberg_mucho_speziale,mezjuev-lundberg_special__mezjuev.mid,71
25,7772,Mezjuev/Lundberg Special.mid,1959.0,mezjuev-lundberg_special,mezjuev-lundberg_special__mezjuev.mid,79
26,7819,Mezjuev/Madame X.mid,1913.0,mezjuev-madame_x,mezjuev-madame_x__mezjuev.mid,71
27,7827,Mezjuev/Madrone  The.mid,2008.0,mezjuev-madrone__the,mezjuev-madame_x__mezjuev.mid,61
28,8162,Mezjuev/Memories Of A Missouri Confederate.mid,1989.0,mezjuev-memories_of_a_missouri_confederate,mezjuev-memories_of_a_missouri_confederate__mezjuev.mid,87
29,8296,Mezjuev/Minor Rag (In F sharp minor).mid,,mezjuev-minor_rag_in_f_sharp_minor,mezjuev-minor_rag_in_f_sharp_minor__janner_ex_mezjuev.mid,75
30,8428,Mezjuev/Mobile Carnival Rag-Tango.mid,1966.0,mezjuev-mobile_carnival_ragtango,mezjuev-mobile_carnival_ragtango__mezjuev.mid,83
31,8542,Mezjuev/More The Merrier Rag  The.mid,1996.0,mezjuev-more_the_merrier_rag__the,mezjuev-more_the_merrier_rag_the__shockley_ex_mezjuev.mid,71
32,8750,Mezjuev/My Little Black Sweetheart.mid,1911.0,mezjuev-my_little_black_sweetheart,mezjuev-my_little_black_sweetheart__reichel_ex_mezjuev.mid,74
33,8911,Mezjuev/Never-Fading Love  The.mid,1990.0,mezjuev-neverfading_love__the,mezjuev-neverfading_love_the__mezjuev.mid,80
34,9015,Mezjuev/Niggerpiccolo.mid,1919.0,mezjuev-niggerpiccolo,mezjuev-niggerpiccolo__reichel_ex_mezjuev.mid,64
35,9119,Mezjuev/North Star.mid,1995.0,mezjuev-north_star,mezjuev-north_star__mezjuev.mid,73
36,9308,Mezjuev/Okra Flowers.mid,2005.0,mezjuev-okra_flowers,mezjuev-okra_flowers__la_spina_ex_mezjuev.mid,62
37,9432,Mezjuev/On The Highwire.mid,1985.0,mezjuev-on_the_highwire,mezjuev-on_the_highwire__mezjuev.mid,78
38,9527,Mezjuev/Orange Blossoms.mid,1983.0,mezjuev-orange_blossoms,mezjuev-orange_blossoms__mezjuev.mid,78
39,9607,Mezjuev/P.L.C. Rag.mid,2008.0,mezjuev-p.l.c._rag,mezjuev-p.l.c._rag__la_spina_ex_mezjuev.mid,59
40,10179,Mezjuev/Pontificator  The.mid,2007.0,mezjuev-pontificator__the,mezjuev-pontificator_the__la_spina_ex_mezjuev.mid,65
41,10779,Mezjuev/Rag's Rag.mid,1996.0,mezjuev-rags_rag,mezjuev-rags_rag__mezjuev.mid,71
42,10724,Mezjuev/Raggin' On Home.mid,1997.0,mezjuev-raggin_on_home,mezjuev-raggin_on_home__obriant_ex_mezjuev.mid,65
43,10813,Mezjuev/Ragtime Angel.mid,,mezjuev-ragtime_angel,mezjuev-ragtime_angel__la_spina_ex_mezjuev.mid,63
44,11073,Mezjuev/Ragweed Rag  The.mid,1995.0,mezjuev-ragweed_rag__the,mezjuev-rags_rag__mezjuev.mid,68
